ID,Title,State,URL,Labels,Created At
3659,Proper selection coloring in JFace Structured Viewers,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3659,,2026-01-12T08:01:03Z
3723,"Prevent editor ""jumping"" by using placeholders for Code Minings",open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3723,enhancement,2026-02-03T09:24:44Z
3771,Enhancement Proposal: Unified Diff Visualization for Eclipse Text Editor,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3771,enhancement,2026-03-10T12:44:58Z
2793,Draw completion proposals always as focused,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/2793,enhancement,2025-02-12T09:37:02Z
1553,make search dialog modeless,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/1553,,2024-01-24T14:05:23Z
3744,PartServiceImpl.activate(..) leads to scrolling within scrolledComposites even if triggered through a mouse click,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3744,enhancement,2026-02-20T13:28:37Z
2042,Ctrl+3 (quick search): allow toggling options directly in the search dialog,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2042,enhancement,2024-07-06T07:54:34Z
3777,Incorrect Colors in LTK Refactoring Preview Wizard,closed,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3777,,2026-03-13T14:47:47Z
3800,Add tracing to text stores,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3800,enhancement,2026-03-20T09:08:42Z
3803,Requirement: Support for Truly Flat Look in Eclipse Forms UI,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3803,enhancement,2026-03-20T12:23:28Z
1041,"SoftLimit: allow ""show..."" node to be auto-expanded when visible or soon visible",open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1041,enhancement,2023-08-17T06:57:23Z
3767,UI freeze on code minings repaint in Java editor,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3767,"bug, Windows",2026-03-09T15:34:01Z
1160,[Feature Request] Option to keep toolbars inlined with view/editors tabs,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1160,,2023-09-22T10:41:03Z
1123,[Eclipse 4.28.0] [Bug bounty US$50.00] Dark theme: inactive dialog buttons are indistinguishable from active ones,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1123,,2023-09-15T21:10:46Z
1476,Copy text from Console View should remove Ansi Escape codes by default,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1476,enhancement,2024-01-09T06:16:46Z
2021,Umbrella Issue: find/replace overlay issues,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2021,enhancement,2024-07-01T15:06:37Z
3807,Support truly flat look in Forms UI and fix memory leaks,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3807,,2026-03-20T13:29:09Z
1691,"Position toolbar navigation buttons on the left -> Stop them from jumping on navigating between different editor types (java, plugin.xml, ...)",open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1691,enhancement,2024-02-16T11:37:10Z
3793,Search icon to big,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3793,bug,2026-03-18T13:11:56Z
3765,Tests for FormEditor #3764,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3765,,2026-03-07T21:25:55Z
2982,Add cycle detection for e4.ui.dialogs.filteredtree.PatternFilter,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/2982,,2025-05-14T21:12:15Z
3784,Empty area after closing Welcome Screen,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3784,"bug, regression",2026-03-17T07:50:20Z
3795,Analyze and propose code for issue 3761,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3795,,2026-03-19T02:36:47Z
658,JFace Dialog is always APPLICATION_MODAL resulting in that all dialogs through builders are like that,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/658,,2023-03-23T09:56:21Z
3739,Welcome Page links lead to IllegalArgumentException,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3739,bug,2026-02-18T13:56:02Z
3581,PartRenderingEngineTests.ensureCleanUpAddonCleansUp still fails randomly,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3581,test,2025-12-14T18:30:35Z
2934,Redesign Message Dialog,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/2934,,2025-04-23T01:13:03Z
2889,UI thread concurrent access to extension registry causes InvalidRegistryObjectException,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2889,bug,2025-04-04T14:50:04Z
3802,Fix search result consistency in PositionTracker,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3802,,2026-03-20T11:26:56Z
3764,FormEditor fails to activate editor page,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3764,bug,2026-03-07T21:23:47Z
3232,UI component being attempted to be disposed in a non-ui thread.,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3232,,2025-08-29T10:09:53Z
855,Drag and Drop for Eclipse not Working Correctly in Gnome (Ubuntu 22.04),open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/855,,2023-06-26T14:23:26Z
3806,"Remove ""Use round tabs"" for tabs support",open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3806,enhancement,2026-03-20T13:06:24Z
3788,Add Cut to the project explorer,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3788,enhancement,2026-03-17T13:37:40Z
3789,Implement Cut action for resources in Project Explorer,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3789,,2026-03-17T13:40:33Z
509,Do not show error popup when build fails,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/509,,2023-01-05T09:56:35Z
3801,Add tracing to org.eclipse.text text stores,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3801,,2026-03-20T09:11:09Z
3808,Skip gradient image for flat look in FormHeading and CSS handler,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3808,,2026-03-20T13:40:27Z
3796,SearchResultPageTest.testTableNavigation fail sporadically,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3796,test,2026-03-19T06:55:02Z
1532,"Replace ""Default"" text editor with ""Generic"" text editor",open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1532,enhancement,2024-01-21T23:22:47Z
3256,Option in chevron dropdown to display the most recently active editors at the top of the list,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3256,,2025-09-15T19:59:52Z
3123,UI freeze when debugging with breakpoints,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3123,"bug, needinfo",2025-07-23T08:37:46Z
875,Code Folding Menu options in Generic Text Editor,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/875,,2022-10-28T13:15:31Z
1062,CloseUnrelatedProjectsAction can block UI thread,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1062,,2023-08-23T16:12:02Z
3779,Fix flaky AsyncContentAssistTest.testCompleteActivationChar,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3779,,2026-03-16T10:45:49Z
3654,Theme `<colorOverride>`s are not honoured,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3654,bug,2026-01-09T15:33:40Z
3639,Migrate away from PerformanceTestCaseJunit4,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3639,"bug, test",2026-01-05T10:29:34Z
3760,Configurably improve disabled icons appearance,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3760,,2026-03-04T16:34:07Z
3591,Error while running the Windows Defender exclusion check,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3591,bug,2025-12-16T15:05:46Z
1139,Random failing org.eclipse.ui.tests.navigator.SorterTest#testComparatorAsSorter,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1139,"test, flaky test",2023-09-19T14:15:27Z
1022,UI Freeze: deleting  large search Result,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1022,"Linux, performance",2023-08-15T21:17:46Z
3560,BadLocationException when a large amount of content is logged to the Eclipse Console,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3560,"bug, question",2025-11-27T06:45:46Z
3509,IllegalArgumentException when exiting e4-RCP application.,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3509,bug,2025-11-07T10:57:22Z
2949,Newer Workspace Version popup dialog ui alignment changes.,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/2949,,2025-04-29T07:09:20Z
1010, SoftLimit: Soft and hard limit of elements in the Problems view,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1010,,2023-08-15T09:29:16Z
2537,IDEWorkbenchPreferencePage breaks ExtenstionFactory,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2537,bug,2024-11-25T14:16:40Z
3754,Search View: deletion of elements with millions of matches,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3754,performance,2026-03-02T10:48:08Z
2636,[performance] CloseUnrelatedProjectsAction.buildConnectedComponents(IProject[]) blocks UI startup,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2636,"enhancement, performance",2024-12-17T09:58:56Z
2169,NullPointerException in the Welcome view,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2169,bug,2024-08-07T06:12:10Z
2218,Disable UI Freeze Error log by default,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2218,enhancement,2024-08-26T10:05:23Z
3686,WIP,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3686,,2026-01-19T14:30:10Z
294,Some ResourceInitialSelectionTest tests fail intermittently,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/294,"help wanted, macOS, test, flaky test",2022-08-25T12:45:42Z
3775,Incorrect Colors in LTK Refactoring Preview Wizard,closed,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3775,bug,2026-03-13T09:43:21Z
3554,Error overlay looks odd,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3554,bug,2025-11-22T22:36:55Z
3790,Improve Open/Close Project visibility in Project Explorer for mixed selections,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3790,enhancement,2026-03-17T13:49:54Z
1517,Random failing PlatformUITest#testCreateAndRunWorkbench(),open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1517,"test, flaky test",2024-01-18T13:54:04Z
2227,Move DefaultSpellingEngine for text to eclipse.platform.ui,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2227,enhancement,2024-08-28T11:01:33Z
468,ToolItems in inactive view toolbars have wrong background color in dark theme         ,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/468,,2022-11-30T18:24:46Z
1912,[find/replace overlay] Separate UI from Controller Logic,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1912,enhancement,2024-05-31T16:34:43Z
2608,Loaded class is of incorrect type: expected(org.eclipse.ui.menus.WorkbenchWindowControlContribution) got (org.eclipse.ui.tests.api.workbenchpart.DynamicItem),open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2608,,2024-12-10T09:01:39Z
3418,Investigation: e4xmi refactoring issue requires fix in eclipse.jdt.ui repository,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3418,,2025-10-21T04:33:54Z
2702,Random BrokenBarrierException in EventLoopMonitorThreadTests,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2702,"test, flaky test",2025-01-15T06:54:53Z
2568,Improve UI Indication for Unsaved Changes in Tabs,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/2568,,2024-12-02T20:06:51Z
2379,Some UI Tests Leak thousends Resources without any warning,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2379,test,2024-10-10T09:52:35Z
2283,UI Freeze in Help>About and in Installation Details,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2283,"good first issue, help wanted, performance",2024-09-17T08:43:01Z
1721,ClassCastException in EcoreEList.set when using notexists in fragment,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1721,bug,2024-02-27T13:09:23Z
2250,Always remove deleted projects from working sets,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2250,"enhancement, good first issue",2024-09-06T19:12:00Z
1670,UI freeze monitoring should be possible also in tests,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1670,"enhancement, help wanted",2024-02-12T13:25:27Z
1889,Changed tab icons are not saved in workbench.xmi,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1889,bug,2024-05-17T09:19:23Z
2310,Problem view filtering through FiltersConfigurationDialog could be made part of the API,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2310,enhancement,2024-09-20T13:17:50Z
1624,"""A conflict occurred for CTRL+/""",open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1624,bug,2024-02-05T08:22:49Z
3098,Use SVG scaling and disabled image generation for Onboarding Image,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/3098,enhancement,2025-07-09T07:53:20Z
3576,Refactor: Improve refresh action performance with parallel processing,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3576,,2025-12-12T08:45:17Z
1049,NullPointerException when using #org-eclipse-ui-workbench-DARK_FOREGROUND with the * selector,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1049,,2023-08-20T11:39:18Z
3518,Prompt user when switching to a locked workspace in Eclipse,open,https://github.com/eclipse-platform/eclipse.platform.ui/pull/3518,,2025-11-08T03:14:21Z
2353,sortOnly CommonSorter gets thrown away by other NavigationContent TriggerPoints,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2353,,2024-10-02T11:11:50Z
1067,NPE in CommandProvider.getElements,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1067,test,2023-08-28T11:24:54Z
2148,Reopen closed tab,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/2148,enhancement,2024-08-02T06:41:24Z
1294,Duplicate project names handling in SmartImport wizard is broken,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1294,,2023-11-08T15:24:26Z
1209,The line editing commands in the context menu are being incorrectly enabled or disabled regardless of the file's open state.,open,https://github.com/eclipse-platform/eclipse.platform.ui/issues/1209,,2023-10-11T12:33:54Z
